序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
93,688031,星环科技,2026-06-04,买一主买，成功率49.14%,152.32,20.0032,244099587.54,511066562.35,266966974.81,778033537.16,3080333000,7.924454516444,25.25809830171,18.4359,18451422725.12,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
94,688146,中船特气,2026-06-04,普通席位买入，成功率48.59%,219.19,19.9989,475221460.08,839427767.09,364206307.01,1203634074.1,4226903900,11.242778906802,28.4755485948,13.8105,31776158857.98,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
95,688268,华特气体,2026-06-04,买一主买，成功率46.73%,203.6,15.5046,23623720.61,974251790.69,950628070.08,1924879860.77,6080709900,0.388502674827,31.655512142916,13.8381,25453423534.0,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,,,,
96,688287,退市观典,2026-06-04,普通席位买入，成功率25.97%,0.35,2.9412,448786.09,1208216.69,759430.6,1967647.29,3539500,12.679364034468,55.591108631163,2.7253,129680460.0,退市整理的证券,,,,
97,688303,大全能源,2026-06-04,普通席位买入，成功率43.61%,22.46,19.9786,110357464.89,294660616.32,184303151.43,478963767.75,1101232200,10.021271162431,43.493440143686,2.3866,48181320561.04,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
98,688378,奥来德,2026-06-04,1家机构买入，成功率47.83%,51.48,20.0,178907892.31,463303170.58,284395278.27,747698448.85,1402851800,12.753156984223,53.298463091397,12.1514,12404650195.08,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
99,688668,鼎通科技,2026-06-04,3家机构买入，成功率46.94%,362.4,20.0,81240707.78,978295461.24,897054753.46,1875350214.7,5298989200,1.533135938077,35.390715925596,4.9774,50471667614.4,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,,,,
100,688668,鼎通科技,2026-06-04,1家机构买入，成功率46.88%,362.4,20.0,144618967.78,570269511.91,425650544.13,995920056.04,2347684100,6.16006931171,42.4213826741,4.9774,50471667614.4,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
101,920078,族兴新材,2026-06-04,1家机构买入，成功率34.52%,35.56,4.6498,2912169.5,24990252.07,22078082.57,47068334.64,188974900,1.541035079262,24.90718854197,26.455,736092000.0,当日换手率达到20%的前5只股票,,,,
102,920096,嘉晨智能,2026-06-04,1家机构买入，成功率35.55%,63.6,20.0,1585858.73999999,46019406.98,44433548.24,90452955.22,360087600,0.44040915044,25.119708432059,36.9213,1030320000.0,当日换手率达到20%的前5只股票,,,,
103,920096,嘉晨智能,2026-06-04,1家机构买入，成功率35.55%,63.6,20.0,1585858.73999999,46019406.98,44433548.24,90452955.22,360087600,0.44040915044,25.119708432059,36.9213,1030320000.0,当日收盘价涨幅达到20%的前5只股票,,,,
